source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[sample amount]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]
Sample 22	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	1 μg	run 11	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1xYeast-JPTstySig123_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1xYeast-JPTstySig123_2.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 23	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	synthetic	1 μg	run 12	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1xYeast-JPTstySig123_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1xYeast-JPTstySig123_3.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 24	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	1 μg	run 12	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1xYeast-JPTstySig123_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1xYeast-JPTstySig123_3.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 25	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 13	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 26	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 13	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 27	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 13	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 28	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 13	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 29	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 14	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 30	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 14	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 31	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 14	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 32	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 14	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 33	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 15	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 34	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 15	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 35	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 15	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 36	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 15	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_03.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 37	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 16	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 38	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 16	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 39	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 16	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 40	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 16	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 41	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	2 μg	run 17	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_05.raw	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 42	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	Mock	not applicable	enrichment of phosphorylated Protein	not synthetic	198 μg	run 17	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_05.raw	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 43	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	Phosphatase	not applicable	enrichment of phosphorylated Protein	not synthetic	50 μg	run 17	proteomic profiling by mass spectrometry	20190122_QE5_nLC5_AH_LFQstoich_DDA_A_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20190122_QE5_nLC5_AH_LFQstoich_DDA_A_05.raw	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
